CD_GEOCODM;POP_ESTIM
3202652;11729
3202702;14134
3202801;30988
3202900;10881
3203007;27340
3203056;24718
3203106;10888
3203130;15808
3203163;10825
3203205;141254
3203304;13600
3203320;34147
3203346;14249
3203353;11107
3203403;25898
3203502;17854
3203601;5672
3203700;18387
3203809;14396
3203908;46020
3204005;21520
3204054;23789
3204104;23891
3204203;18123
3204252;6979
3204302;10315
3204351;17538
3204401;11333
3204500;12255
3204559;34178
3204609;21815
3204658;8016
3204708;31859
3204807;10417
3204906;109067
3204955;11287
3205002;409324
3205010;23860
3205036;19141
3205069;20468
3205101;64999
3205150;8672
3205176;13830
3205200;414420
3205309;325453
5200050;6868
5200100;15752
5200134;20283
5200159;2483
5200175;5095
5200209;2012
5200258;159505
5200308;23828
5200506;2044
5200555;4505
5200605;6864
5200803;8093
5200829;3424
5200852;5508
5200902;3607
5201108;335032
5201207;1017
5201306;20272
5201405;455735
5201454;2433
5201504;3811
5201603;3785
5201702;18310
5201801;8375
5202155;7513
5202353;3278
5202502;7506
5202601;3650
5202809;2451
5203104;3714
5203203;8701
5203302;24539
5203401;8423
5203500;20729
5203559;7536
5203575;3503
5203609;3240
5203807;5509
5203906;9056
5203939;2561
5203962;3319
5204003;7346
5204102;10539
5204201;1417
5204250;8267
5204300;13279
5204409;16734
5204508;70463
5204557;3322
5204607;3387
5204656;3654
5204706;11115
5204805;6057
5204854;6270
5204904;18395
5204953;5022
5205000;8939
5205059;3638
5205109;86597
5205208;4670
5205307;9394
5205406;20686
5205455;7548
5205471;7004
5205497;55883
5205513;17391
5205521;3523
5205703;2629
5205802;10344
5205901;8164
5206206;46568
5206305;2933
5206404;15762
5206503;3555
5206602;2961
5206701;3297
5206800;2747
5206909;2050
5207105;2479
5208301;4967
5207253;7892
5207352;3733
5207402;11266
5207501;3318
5207535;6980
5207600;6318
5207808;11603
5207907;12058
5208004;100084
5208103;4891
5208152;3275
5208400;10681
5208509;5268
5208608;59545
5208707;1301892
5208806;34061
5208905;24745
5209101;32481
5209150;4948
5209200;14002
5209291;2372
5209408;4262
5209457;2306
5209606;3568
5209705;17398
5209804;4029
5209903;12438
5209937;5702
5209952;13703
5210000;48212
5210109;24745
5210158;2844
5210208;31274
5210307;2888
5210406;35412
5210562;4508
5210604;5429
5210802;5066
5210901;18481
5211008;7851
5211206;26085
5211305;6298
5211404;8549
5211503;92942
5211602;2663
5211701;6164
5211800;41888
5211909;88048
5212006;3000
5212055;2293
5212105;7108
5212204;19086
5212253;1259
5212303;7875
5212501;174546
5212600;2378
5212709;6885
5212808;10659
5212907;2072
5212956;4414
5213004;11516
5213053;2685
5213087;31149
5213103;52964
5213400;1763
5213509;7742
5213707;8000
5213756;10576
5213772;4114
5213806;41457
5213855;2365
5213905;5005
5214002;13403
5214051;6422
5214101;3842
5214408;7874
5214507;24189
5214606;42380
5214705;2254
5214804;2069
5214838;11911
5214861;8514
5214879;2826
5214903;3468
5215009;8129
5215207;3516
5215231;95013
5215256;3953
5215306;14292
5215405;4040
5215504;5446
5215603;27689
5215652;3382
5215702;23333
5215801;2339
5215900;3561
5216007;2676
5216304;9119
5216403;10860
5216452;2950
5216809;10285
5216908;2766
5217104;24033
5217203;11268
5217302;23065
5217401;28691
5217609;81612
5217708;17112
5218003;42356
5218052;3347
5218102;3839
5218300;31417
5218391;3244
5218508;43243
5218607;10516
5218706;4556
5218789;3311
5218805;176502
5218904;18848
5219001;7563
5219100;5751
5219209;3142
5219258;4768
5219308;36459
5219357;3680
5219407;6928
5219456;3170
5219506;2905
5219605;3991
5219704;10304
5219712;4430
5219738;4690
5219753;63166
5219803;11236
5219902;6117
5220058;1692
5220009;10254
5220108;30050
5220157;4617
5220207;22294
5220264;3761
5220280;1991
5220405;17086
5220454;84399
5220504;7477
5220603;19096
5220686;6512
5220702;2821
5221007;3540
5221080;3016
5221197;6562
5221304;2817
5221403;104506
5221452;3435
5221502;4839
5221551;4399
5221577;2935
5221601;36949
5221700;13821
5221809;3058
5221858;132947
5221908;3661
5222005;12549
5222054;7371
5222203;4742
5222302;5145
2100055;104013
2100105;5957
2100154;11590
2100204;21852
2100303;23952
2100402;10211
2100436;24596
2100477;31028
2100501;10765
2100550;6431
2100600;37894
2100709;25294
2100808;13923
2100832;14959
2100873;13957
2100907;42600
2100956;31568
2101004;28477
2101103;11425
2101202;99960
2101251;14965
2101301;16626
2101350;5304
2101400;83537
2101509;17816
2101608;82692
2101707;54991
2101772;11946
2101731;6527
2101806;5473
2101905;20339
2101939;5996
2101970;7949
2102002;39093
2102036;28456
2102077;14823
2102101;33314
2102150;10540
2102200;27042
2102309;22886
2102325;65226
2102358;14770
2102374;8442
2102408;10632
2102507;18348
2102556;13369
2102606;18505
2102705;20457
2102754;10698
2102804;23979
2102903;22008
2103000;155202
2103109;10300
2103125;7988
2103158;12517
2103174;17622
2103208;73281
2103257;13593
2103307;118072
2103406;46792
2103505;39167
2103554;14428
2103604;61653
2103703;32594
2103752;12551
2103802;22673
2103901;10634
2104008;18456
2104057;35738
2104073;8120
2104081;9180
2104099;17780
2104107;11644
2104206;15108
2104305;10635
2104404;17485
2104503;10205
2104552;15895
2104602;15983
2104628;7337
2104651;11922
2104677;25402
2104701;6140
2104800;61903
2104909;12105
2105005;26197
2105104;25147
2105153;12543
2105203;11047
2105302;247553
2105351;14264
2105401;62123
2105427;24891
2105450;8526
2105476;15397
2105500;20381
2105609;15437
2105658;4020
2105708;46108
2105807;10736
2105948;7799
2105906;15407
2105922;10954
2105963;10536
2105989;6923
2106003;11415
2106102;11374
2106201;6510
2106300;17633
2106326;19142
2106359;8045
2106375;14066
2106409;15123
2106508;21832
2106607;30930
2106631;13796
2106672;8118
2106706;20434
2106755;24331
2106805;14213
2106904;31748
2107001;9424
2107100;17805
2107209;12467
2107258;4885
2107308;4600
2107357;19125
2107407;18505
2107456;13122
2107506;104881
2107605;18766
2107704;20104
2107803;34613
2107902;17576
2108009;18079
2108058;14498
2108108;20087
2108207;39481
2108256;22731
2108306;34246
2108405;13807
2108454;20274
2108504;31145
2108603;78147
2108702;22016
2108801;17358
2108900;19705
2109007;21506
2109056;6062
2109106;44719
2109205;11537
2109239;6370
2109270;17143
2109304;10729
2109403;13896
2109452;26280
2109502;20218
2109551;7294
2109601;39582
2109700;5484
2109759;7063
2109809;39060
2109908;78182
2110005;69392
2110039;22644
2110104;29172
2110203;32365
2110237;11661
2110278;13821
2110302;14288
2110401;17802
2110500;40717
2110609;26480
2110658;6983
2110708;33630
2110807;4688
2110856;10226
2110906;12163
2111003;19966
2111029;12315
2111052;10823
2111078;17104
2111102;24913
2111201;162925
2111250;7496
2111300;1011943
2111409;20156
2111508;39109
2111532;12025
2111573;4428
2111607;17480
2111631;6090
2111672;5957
2111706;20870
2111722;11987
2111748;10253
2111763;18010
2111789;10924
2111805;17007
2111904;10431
2111953;4610
2112001;7796
2112100;28007
2112209;155396
2112233;18951
2112274;5607
2112308;39257
2112407;33956
2112456;22850
2112506;52711
2112605;24548
2112704;49415
2112803;49452
2112852;11258
2112902;31234
2113009;31654
2114007;50160
5100102;5516
5100201;20844
5100250;49233
5100300;15670
5100359;5249
5100409;10321
5100508;9951
5100607;8100
5100805;8538
5101001;3221
5101209;1095
5101258;15387
5101308;10355
5101407;18581
5101605;7591
5101704;31058
5101803;56423
5101852;5231
5101902;15280
5102504;87912
5102603;14222
5102637;27574
5102678;31612
5102686;5019
5102694;4767
5102702;18701
5102793;10985
5102850;8231
5103007;17799
5103056;10972
5103106;5498
5103205;30864
5103254;26390
5103304;18157
5103353;25127
5103361;3388
5103379;14987
5103403;551350
5103437;4898
5103452;8494
5103502;20420
5103601;8131
5103700;10933
5103809;3805
5103858;6287
5103908;5018
5103957;3125
5104104;32150
5104203;13867
5104500;2407
5104526;5123
5104542;5260
5104559;4570
5104609;11493
5104807;25666
5104906;7696
5105002;10461
5105101;32769
5105150;39260
5105176;11269
5105200;11434
5105234;5438
5105259;45545
5105309;2229
5105580;11994
5105606;14172
5105622;25331
5105903;15011
5106000;6438
5106109;11592
5106158;11630
5106208;4593
5106216;12132
5108808;4929
5106182;5469
5108857;2925
5108907;6590
5108956;8088
5106224;31633
5106174;3021
5106232;17529
5106190;3475
5106240;9245
5106257;19475
5106273;3746
5106265;7069
5106315;2005
5106281;6043
5106299;10690
5106307;19280
5106372;15693
5106422;30762
5106455;2726
5106505;31778
5106653;5427
5106703;1783
5106752;41386
5106778;10754
5106802;5448
5106828;10950
5106851;3639
5107008;17602
5107040;52114
5107065;13021
5107156;2578
5107180;8880
5107198;2199
5107206;5061
5107578;3538
5107602;195550
5107701;17682
5107750;3903
5107248;4075
5107743;1899
5107768;2466
5107776;7399
5107263;2974
5107792;3757
5107800;18409
5107859;10531
5107297;3601
5107305;17128
5107354;5267
5107107;18963
5107404;4142
5107875;18080
5107883;1365
5107909;113082
5107925;66506
5107941;9917
5107958;84076
5108006;10390
5108055;11302
5108105;3437
5108204;4036
5108303;3767
5108352;3058
5108402;252709
5108501;10235
5105507;14491
5108600;21403
5000203;14429
5000252;4570
5000609;34739
5000708;23846
5000807;8494
5000856;9170
5000906;8215
5001003;22305
5001102;45623
5001243;10255
5001508;6598
5001904;19825
5002001;10938
5002100;23175
5002159;7986
5002209;19598
5002308;11804
5002407;25763
5002605;13648
5002704;787204
5002803;5400
5002902;20932
5002951;19654
5003108;4862
5003157;14064
5003207;103772
5003256;19689
5003306;32180
5003454;12131
5003488;10362
5003504;5365
5003702;196068
5003751;11680
5003801;19024
5003900;2927
5004007;9928
5004106;10368
5004304;14887
5004403;7686
5004502;20879
5004601;18618
5004700;22355
5004809;7645
5004908;6341
5005004;24363
5005103;4017
5005152;5900
5005202;19653
5005251;6493
5005400;37407
5005608;25615
5005681;17035
5005707;46355
5005806;14396
5006002;16433
5006200;45599
5006259;4944
5006309;40174
5006358;12355
5006408;7967
5006606;77866
5006903;15369
5007109;20967
5007208;30647
5007307;5040
5007406;18892
5007505;4922
5007554;7254
5007695;22164
5007802;6277
5007703;10780
5007901;42076
5007935;14867
5007950;10215
5007976;3512
5008008;17162
5008305;101722
5008404;5901
1500107;141054
1500131;6792
1500206;53605
1500305;35017
1500347;25061
1500404;52714
1500503;33665
1500602;105030
1500701;24771
1500800;471744
1500859;20493
1500909;40499
1500958;26579
1501006;15767
1501105;23855
1501204;36907
1501253;3434
1501303;99800
1501402;1392031
1501451;16324
1501501;51663
1501576;15246
1501600;13630
1501709;113165
1501725;17960
1501758;7324
1501782;52497
1501808;92865
1501907;25700
1502004;20460
1501956;26476
1502103;120904
1502152;26727
1502202;63628
1502301;51899
1502400;173096
1502509;21138
1502608;11382
1502707;45530
1502756;28221
1502764;10478
1502772;18295
1502806;28582
1502855;12262
1502905;34490
1502939;51318
1502954;31745
1503002;8181
1503044;17825
1503077;25051
1503093;30437
1503101;29060
1503200;35843
1503309;58023
1503408;10064
1503457;51383
1503507;31382
1503606;97343
1503705;51258
1503754;14040
1503804;51375
1503903;47123
1504000;25028
1504059;27892
1504109;8115
1504208;233462
1504307;28376
1504406;26605
1504422;108251
1504455;27442
1504505;24789
1504604;26745
1504703;69921
1504802;55459
1504901;34237
1504950;20159
1504976;14645
1505007;13660
1505031;25106
1505064;62124
1505106;49254
1505205;28595
1505304;62963
1505403;16296
1505437;27564
1505486;40052
1505494;7487
1505502;97788
1505536;153942
1505551;6029
1505601;7868
1505635;12703
1505650;23930
1505700;25989
1505809;52166
1505908;33951
1506005;29265
1506104;10268
1506112;12411
1506138;75505
1506161;17722
1506187;46974
1506195;40068
1506203;37430
1506302;20184
1506351;17154
1506401;8163
1506500;59476
1506559;19422
1506583;17198
1506609;23033
1506708;56132
1506807;294774
1506906;6145
1507003;26673
1507102;16891
1507151;23140
1507201;29827
1507300;91293
1507409;15196
1507458;25584
1507466;5265
1507474;20644
1507508;13149
1507607;51527
1507706;22890
1507755;5047
1507805;12998
1507904;22995
1507953;79299
1507961;10254
1507979;16952
1508001;56514
1508035;27466
1508050;16885
1508084;33651
1508100;97109
1508126;43345
1508159;44720
1508209;47902
1508308;56681
1508357;13480
1508407;40573
2500106;9449
2500205;5530
2500304;28482
2500403;19686
2500502;13577
2500536;5239
2500577;2366
2500601;18001
2500734;2088
2500775;7676
2500809;17224
2500908;12653
2501005;18886
2501104;23837
2501153;1927
2501203;6470
2501302;19089
2501351;3522
2501401;8007
2501500;21854
2501534;4222
2501609;14160
2501575;8205
2501708;5611
2501807;99758
2501906;17083
2502003;7143
2502052;3075
2502102;5751
2502151;6224
2502201;2399
2502300;5037
2502409;10806
2502508;16889
2502706;5111
2502805;13123
2502904;6197
2503001;20363
2503100;5035
2503209;57926
2503308;9546
2503407;3557
2503506;16755
2503555;6814
2503605;7220
2503704;58437
2503753;3033
2503803;5637
2503902;5749
2504009;385276
2504033;5601
2504074;3899
2504108;2378
2504157;7058
2504207;4812
2504306;28766
2504355;4546
2504405;18366
2504504;6587
2504603;21418
2504702;4692
2504801;15149
2504850;1771
2504900;16257
2505006;6868
2505105;19950
2505238;6198
2505204;6889
2505279;5214
2505303;2505
2505352;4900
2505402;7991
2505600;6616
2505709;10517
2505808;3640
2505907;3317
2506004;31095
2506103;11409
2506202;2933
2506251;8376
2506301;55340
2506400;13872
2506509;3159
2506608;6031
2502607;6156
2506707;11352
2506806;18180
2506905;24483
2507002;23195
2507101;16998
2507200;10201
2507309;13952
2507408;7538
2507507;723514
2507606;7459
2507705;16776
2507804;6643
2507903;10240
2508000;9826
2508109;4681
2508208;7370
2508307;25911
2508406;2841
2508505;7164
2508554;3942
2508604;11730
2508703;4019
2508802;5612
2508901;42330
2509008;10759
2509057;7611
2509107;21173
2509156;6173
2509206;12910
2509305;7404
2509339;4316
2509370;2702
2509396;5939
2509404;12490
2509503;4990
2509602;4508
2509701;30844
2509800;9469
2509909;10566
2510006;7280
2510105;10533
2510204;6070
2510303;4365
2510402;6931
2510501;3627
2510600;2928
2510659;1256
2510709;2233
2510808;100695
2510907;11783
2511004;3721
2511103;7475
2511202;27034
2512721;5779
2511301;15465
2511400;18226
2511509;11191
2511608;6978
2511707;5155
2511806;10319
2511905;17032
2512002;17020
2512036;3752
2512077;3978
2512101;32117
2512200;3854
2512309;21283
2512408;12929
2512507;41054
2512606;1699
2512705;17582
2512747;3274
2512754;4264
2512762;4164
2512788;1722
2512804;8314
2512903;22979
2513000;3508
2513109;11976
2513158;6661
2513208;6471
2513307;5369
2513356;3539
2513406;14729
2513703;120333
2513802;4581
2513505;5332
2513604;7266
2513653;2615
2513851;2638
2513927;4138
2513901;30880
2513968;2851
2513943;2420
2513984;3364
2514008;4344
2500700;18201
2514107;4396
2514206;7564
2514305;6010
2514404;4760
2514503;19099
2514552;4219
2514602;3233
2514651;1684
2514701;4010
2514800;3985
2514453;5508
2514909;7748
2515005;6696
2515104;11041
2515203;3239
2515302;50151
2515401;10230
2515500;12971
2515609;3204
2515708;2975
2515807;7054
2515906;6238
2515930;4395
2515971;7363
2516003;26689
2516102;13739
2516151;3173
2516201;65807
2516300;16072
2516409;10263
2516508;14938
2516607;14103
2516706;14153
2516755;2816
2516805;9223
2516904;14584
2517001;9300
2517100;2504
2517209;5045
2505501;3508
2517407;2075
4100103;7753
4100202;6374
4100301;8270
4100400;103245
4100459;4306
4128625;3206
4100608;13662
4100707;10179
4100509;20516
4100806;10298
4100905;5444
4101002;17308
4101051;2865
4101101;20615
4101150;2861
4101200;18891
4101309;7351
4101408;120884
4101507;104161
4101606;25856
4101655;3554
4101705;13424
4101804;119207
4101853;2453
4101903;16368
4102000;33028
4102109;24704
4102208;3913
4102307;11294
4102406;32182
4102505;12653
4102703;2727
4102604;9737
4102752;3939
4102802;15080
4102901;15883
4103008;4568
4103024;2768
4103040;6549
4103057;7911
4103107;11005
4103156;3796
4103206;6568
4103222;3296
4103305;7877
4103354;5735
4103370;3209
4103404;2695
4103453;14551
4103479;4285
4103503;8069
4103602;23871
4103701;96735
4103800;7236
4103909;15393
4103958;4076
4104006;38756
4104055;4407
4104105;7125
4104204;112486
4104253;24836
