COD_UF;COD_MN;POP_ESTIM
22;2133;5943
22;2174;7279
22;2208;46833
22;2251;3950
22;2307;21187
22;2406;11417
22;2455;4100
22;2505;10916
22;2539;5868
22;2554;5067
22;2604;19716
22;2653;5424
22;2703;27787
22;2711;4891
22;2729;6153
22;2737;4020
22;2752;6484
22;2778;7656
22;2802;4803
22;2851;4682
22;2901;26644
22;3008;8294
22;3107;10423
22;3206;11388
22;3230;4954
22;3255;4443
22;3271;5343
22;3305;13817
22;3354;7011
22;3404;6904
22;3420;4355
22;3453;9556
22;3503;14602
22;3602;4915
22;3701;39737
22;3750;5307
22;3800;4463
22;3859;2558
22;3909;59935
22;4006;5348
22;4105;4348
22;4154;3184
22;4204;9319
22;4303;11625
22;4352;5442
22;4402;10690
22;4501;10499
22;4550;4562
22;4600;3877
22;4659;9426
22;4709;15308
22;4808;9811
22;4907;8549
22;5003;11530
22;5102;11019
22;5151;5741
22;5201;19104
22;5250;4504
22;5276;4865
22;5300;4452
22;5359;3008
22;5409;14354
22;5458;5443
22;5508;39208
22;5516;5478
22;5524;5627
22;5532;4763
22;5540;2845
22;5557;8542
22;5565;4655
22;5573;6758
22;5581;4064
22;5599;5177
22;5607;5295
22;5706;30311
22;5805;25486
22;5854;8310
22;5904;5349
22;5953;8492
22;6001;4549
22;6050;6441
22;6100;10936
22;6209;33760
22;6308;1246
22;6357;6613
22;6407;10564
22;6506;7749
22;6605;10613
22;6654;4532
22;6670;6796
22;6696;9159
22;6704;7339
22;6720;8570
22;6753;4870
22;6803;8692
22;6902;6565
22;6951;2991
22;7009;37029
22;7108;2459
22;7207;6868
22;7306;4129
22;7355;3389
22;7405;5043
22;7504;14539
22;7553;3945
22;7603;10791
22;7702;153078
22;7751;4313
22;7777;6392
22;7793;4045
22;7801;20523
22;7850;3677
22;7900;38742
22;7934;2536
22;7959;4374
22;8007;78222
22;8106;12127
22;8205;18425
22;8304;28791
22;8403;63742
22;8502;12568
22;8551;2710
22;8601;3151
22;8650;8992
22;8700;8778
22;8809;17978
22;8858;4312
22;8874;4477
22;8908;7341
22;9005;6432
22;9104;6240
22;9153;4019
22;9203;6253
22;9302;5860
22;9351;4634
22;9377;5257
22;9401;6415
22;9450;2161
22;9500;3798
22;9559;4448
22;9609;2942
22;9658;5755
22;9708;6423
22;9757;3041
22;9807;5015
22;9856;4608
22;9872;6042
22;9906;6139
22;9955;4840
22;9971;7989
22;10003;20601
22;10052;5346
22;10102;3745
22;10201;6705
22;10300;6363
22;10359;4573
22;10375;2644
22;10383;2452
22;10391;3039
22;10409;17662
22;10508;14291
22;10607;34710
22;10623;3469
22;10631;4294
22;10656;10041
22;10706;14633
22;10805;12711
22;10904;4569
22;10938;6730
22;10953;2919
22;10979;2765
22;11001;864845
22;11100;44485
22;11209;21558
22;11308;20918
22;11357;4947
22;11407;4391
22;11506;3077
22;11605;2971
22;11704;4462
23;101;11737
23;150;14929
23;200;62641
23;309;54270
23;408;17399
23;507;11714
23;606;7586
23;705;17146
23;754;43452
23;804;7353
23;903;14600
23;1000;80271
23;1109;74547
23;1208;26469
23;1257;10935
23;1307;21600
23;1406;11847
23;1505;7840
23;1604;23417
23;1703;24654
23;1802;6288
23;1851;18197
23;1901;60781
23;1950;22425
23;2008;22680
23;2057;15017
23;2107;35750
23;2206;53573
23;2305;32591
23;2404;54470
23;2503;49477
23;2602;63661
23;2701;27426
23;2800;76997
23;2909;17738
23;3006;22547
23;3105;18448
23;3204;26965
23;3303;18699
23;3402;17606
23;3501;71743
23;3600;20698
23;3659;10342
23;3709;361400
23;3808;25557
23;3907;13069
23;3931;13521
23;3956;20264
23;4004;23136
23;4103;75074
23;4202;132123
23;4236;18063
23;4251;24827
23;4269;9625
23;4277;7198
23;4285;53618
23;4301;19450
23;4350;24218
23;4400;2669342
23;4459;16480
23;4509;14072
23;4608;7618
23;4657;14399
23;4707;54748
23;4806;4844
23;4905;11068
23;4954;26064
23;5001;40642
23;5100;5193
23;5209;19978
23;5233;67337
23;5266;13353
23;5308;24997
23;5332;12525
23;5357;19934
23;5407;68018
23;5506;102498
23;5605;26178
23;5654;11593
23;5704;12463
23;5803;41964
23;5902;38166
23;6009;14297
23;6108;24156
23;6207;7827
23;6256;37980
23;6306;52675
23;6405;129358
23;6504;20382
23;6553;41826
23;6603;21647
23;6702;18162
23;6801;11401
23;6900;34682
23;7007;33705
23;7106;27174
23;7205;8111
23;7254;19816
23;7304;274207
23;7403;24833
23;7502;31508
23;7601;59540
23;7635;19691
23;7650;227886
23;7700;128978
23;7809;27361
23;7908;11233
23;8005;38737
23;8104;47962
23;8203;15057
23;8302;27512
23;8351;13155
23;8377;13818
23;8401;35393
23;8500;43797
23;8609;17234
23;8708;61890
23;8807;8724
23;8906;22534
23;9003;14537
23;9102;10823
23;9201;15565
23;9300;32328
23;9409;28607
23;9458;25703
23;9508;21427
23;9607;72203
23;9706;83432
23;9805;12261
23;9904;6533
23;10001;9386
23;10100;13322
23;10209;35076
23;10258;32744
23;10308;31521
23;10407;12226
23;10506;43258
23;10605;9077
23;10704;37751
23;10803;16307
23;10852;20567
23;10902;16959
23;10951;10951
23;11009;12336
23;11108;14996
23;11207;11045
23;11231;6419
23;11264;21084
23;11306;87728
23;11355;16178
23;11405;81082
23;11504;22149
23;11603;29053
23;11702;18491
23;11801;78194
23;11900;15819
23;11959;16554
23;12007;32452
23;12106;17700
23;12205;43703
23;12304;47903
23;12403;48422
23;12502;7645
23;12601;13000
23;12700;25496
23;12809;7623
23;12908;208935
23;13005;18324
23;13104;30697
23;13203;26251
23;13252;8592
23;13302;58859
23;13351;19187
23;13401;75946
23;13500;55918
23;13559;16271
23;13609;34792
23;13708;7733
23;13757;19825
23;13807;21850
23;13906;13840
23;13955;18420
23;14003;40721
23;14102;60889
24;109;11136
24;208;58017
24;307;11035
24;406;3252
24;505;13577
24;604;4735
24;703;14529
24;802;11714
24;901;7145
24;1008;35845
24;1107;27774
24;1206;14306
24;1305;9655
24;1404;9271
24;1453;28374
24;1503;3998
24;1602;5497
24;1651;2223
24;1701;10210
24;1800;12699
24;1859;6549
24;1909;3684
24;2006;67952
24;2105;11217
24;2204;34276
24;2303;20493
24;2402;8180
24;2501;10759
24;2600;73497
24;2709;11179
24;2808;5506
24;2907;4912
24;3004;7998
24;3103;44786
24;3202;7076
24;3251;261469
24;3301;5638
24;3400;6045
24;3509;10505
24;3608;28583
24;3707;5985
24;3756;3054
24;3806;9116
24;3905;2824
24;4002;4068
24;4101;2786
24;4200;26328
24;4309;13037
24;4408;10383
24;4507;15659
24;4606;13766
24;4705;15491
24;4804;2241
24;4853;7548
24;4903;5878
24;5009;9133
24;5108;6878
24;5207;5268
24;5306;10181
24;5405;5055
24;5504;2612
24;5603;14837
24;5702;12396
24;5801;34955
24;5900;2654
24;6007;5951
24;6106;18295
24;6155;3898
24;6205;6769
24;6304;7544
24;6403;2732
24;6502;15614
24;6601;8245
24;6700;11277
24;6809;4759
24;6908;3996
24;7005;10116
24;7104;80792
24;7203;31814
24;7252;4020
24;7302;8347
24;7401;8725
24;7500;12371
24;7609;4601
24;7708;11251
24;7807;22451
24;7906;2105
24;8003;297378
24;8102;884122
24;8201;27602
24;8300;37343
24;8409;4258
24;8508;4812
24;8607;4254
24;8706;3768
24;8805;5237
24;8904;21477
24;8953;10848
24;9100;13277
24;9209;3089
24;9308;12755
24;9332;5551
24;9407;30394
24;9506;3237
24;9605;2458
24;9704;6716
24;9803;14806
24;9902;15129
24;10009;3838
24;10108;15413
24;10207;7867
24;10256;6437
24;10306;10395
24;10405;9621
24;10504;5098
24;10603;3201
24;10702;3579
24;10801;4204
24;10900;8128
24;11007;4467
24;11056;4106
24;11106;3600
24;11205;39674
24;11403;12791
24;11429;2680
24;11502;24136
24;11601;2747
24;11700;4449
24;11809;3584
24;11908;4228
24;12005;102400
24;12104;6193
24;12203;43899
24;12302;12856
24;12401;4634
24;12500;23519
24;12559;10282
24;12609;17579
24;12708;5971
24;12807;8202
24;12906;11055
24;13003;6424
24;13102;6086
24;13201;4440
24;13300;5762
24;13359;11938
24;13409;8078
24;13508;6229
24;13557;4800
24;13607;2440
24;13706;5522
24;13805;2566
24;13904;12279
24;14001;15727
24;14100;10786
24;14159;5952
24;14209;14180
24;14308;2414
24;14407;33287
24;14456;3237
24;14506;10555
24;14605;14659
24;14704;5500
24;14753;4177
24;14803;12481
24;14902;1718
24;15008;3170
25;106;10234
25;205;5640
25;304;28496
25;403;20849
25;502;14489
25;536;5492
25;577;2567
25;601;19588
25;700;18034
25;734;2238
25;775;8347
25;809;16987
25;908;13470
25;1005;20312
25;1104;22819
25;1153;2128
25;1203;6998
25;1302;19153
25;1351;3990
25;1401;8993
25;1500;21318
25;1534;4892
25;1575;8359
25;1609;15384
25;1708;6036
25;1807;96880
25;1906;17676
25;2003;7342
25;2052;3501
25;2102;5366
25;2151;7051
25;2201;2561
25;2300;4975
25;2409;11917
25;2508;17804
25;2607;6117
25;2706;5263
25;2805;14122
25;2904;6449
25;3001;21828
25;3100;5611
25;3209;67736
25;3308;10244
25;3407;3682
25;3506;17187
25;3555;7173
25;3605;7201
25;3704;61993
25;3753;3193
25;3803;6014
25;3902;6013
25;4009;409731
25;4033;6523
25;4074;4162
25;4108;2659
25;4157;7468
25;4207;4932
25;4306;30546
25;4355;4852
25;4405;18982
25;4504;6654
25;4603;24670
25;4702;4786
25;4801;15445
25;4850;1921
25;4900;17319
25;5006;7797
25;5105;20338
25;5204;6803
25;5238;6353
25;5279;5227
25;5303;2516
25;5352;5330
25;5402;8297
25;5501;3798
25;5600;6552
25;5709;10453
25;5808;3596
25;5907;3522
25;6004;33007
25;6103;11253
25;6202;2989
25;6251;8316
25;6301;58833
25;6400;14129
25;6509;3428
25;6608;5929
25;6707;11819
25;6806;18103
25;6905;24477
25;7002;24692
25;7101;18664
25;7200;10962
25;7309;14431
25;7408;7739
25;7507;809015
25;7606;7936
25;7705;18171
25;7804;7150
25;7903;10756
25;8000;9867
25;8109;4666
25;8208;7719
25;8307;27503
25;8406;2737
25;8505;7256
25;8554;4332
25;8604;13080
25;8703;4009
25;8802;5759
25;8901;44882
25;9008;10955
25;9057;8558
25;9107;21837
25;9156;6617
25;9206;13918
25;9305;8434
25;9339;4500
25;9370;2908
25;9396;6569
25;9404;13284
25;9503;5669
25;9602;4816
25;9701;33222
25;9800;9902
25;9909;10454
25;10006;7301
25;10105;10638
25;10204;5949
25;10303;4906
25;10402;6526
25;10501;3932
25;10600;3039
25;10659;1771
25;10709;2419
25;10808;107605
25;10907;12347
25;11004;3801
25;11103;7843
25;11202;28458
25;11301;16075
25;11400;18703
25;11509;11917
25;11608;6635
25;11707;4976
25;11806;10579
25;11905;19065
25;12002;18564
25;12036;3888
25;12077;4307
25;12101;32801
25;12200;4209
25;12309;23345
25;12408;13680
25;12507;43967
25;12606;1956
25;12705;19621
25;12721;6089
25;12747;3588
25;12754;4521
25;12762;4509
25;12788;1948
25;12804;8526
25;12903;24176
25;13000;3885
25;13109;12140
25;13158;6558
25;13208;6583
25;13307;5889
25;13356;3595
25;13406;15382
25;13505;5162
25;13604;7031
25;13653;2636
25;13703;136586
25;13802;4573
25;13851;2521
25;13901;34031
25;13927;4529
25;13943;2615
25;13968;3073
25;13984;3392
25;14008;4199
25;14107;4422
25;14206;7630
25;14305;6359
25;14404;4682
25;14453;5957
25;14503;20251
25;14552;4003
25;14602;3557
25;14651;1801
25;14701;4141
25;14800;3628
25;14909;7724
25;15005;7368
25;15104;11661
25;15203;3489
25;15302;52625
25;15401;10775
25;15500;13699
25;15609;3148
25;15708;2909
25;15807;7041
25;15906;6099
25;15930;5024
25;15971;7783
25;16003;26407
25;16102;14989
25;16151;3555
25;16201;69444
25;16300;16966
25;16409;10911
25;16508;15376
25;16607;14726
25;16706;15161
25;16755;3058
25;16805;9455
25;16904;15242
25;17001;9907
25;17100;2810
25;17209;5348
25;17407;2240
26;54;99990
26;104;37259
26;203;19635
26;302;24885
26;401;36771
26;500;43443
26;609;14636
26;708;38386
26;807;22972
26;906;22829
26;1003;11150
26;1052;20524
26;1102;84418
26;1201;74338
26;1300;14385
26;1409;42659
26;1508;12073
26;1607;20729
26;1706;76439
26;1805;12719
26;1904;60798
26;2001;38146
26;2100;48554
26;2209;39184
26;2308;38134
26;2407;8993
26;2506;7487
26;2605;50742
26;2704;13155
26;2803;58378
26;2902;207048
26;3009;34221
26;3108;20380
26;3207;28739
26;3306;11053
26;3405;5750
26;3454;157828
26;3504;18765
26;3603;8551
26;3702;24804
26;3801;20048
26;3900;19551
26;3926;12932
26;4007;83641
26;4106;361118
26;4155;14341
26;4205;42892
26;4304;11807
26;4403;13518
26;4502;21698
26;4601;26421
26;4700;18207
26;4809;12578
26;4908;10906
26;5004;24107
26;5103;37111
26;5152;18908
26;5202;68875
26;5301;31825
26;5400;22131
26;5459;3061
26;5509;12123
26;5608;22624
26;5707;32873
26;5806;15457
26;5905;31052
26;6002;139788
26;6101;30604
26;6200;79758
26;6309;7486
26;6408;84074
26;6507;19197
26;6606;29235
26;6705;7762
26;6804;117019
26;6903;12228
26;7000;23247
26;7109;4548
26;7208;96204
26;7307;30854
26;7406;4918
26;7505;26349
26;7604;26258
26;7653;36447
26;7703;13616
26;7752;26651
26;7802;16955
26;7901;702298
26;7950;11656
26;8008;17150
26;8057;14796
26;8107;33822
26;8206;16023
26;8255;11424
26;8305;14836
26;8404;15378
26;8453;18071
26;8503;21429
26;8602;13145
26;8701;16290
26;8750;25601
26;8800;40288
26;8909;56250
26;9006;25376
26;9105;16088
26;9154;21434
26;9204;11345
26;9303;15390
26;9402;62784
26;9501;32471
26;9600;392482
26;9709;23884
26;9808;14991
26;9907;69459
26;10004;63250
26;10103;7693
26;10202;26474
26;10301;11523
26;10400;22010
26;10509;28933
26;10608;56506
26;10707;331774
26;10806;22617
26;10905;67395
26;11002;36548
26;11101;349145
26;11200;11302
26;11309;27091
26;11408;14966
26;11507;26037
26;11533;6813
26;11606;1645727
26;11705;20546
26;11804;47415
26;11903;23535
26;12000;9932
26;12109;10919
26;12208;60930
26;12307;15843
26;12406;26462
26;12455;15398
26;12471;12592
26;12505;107937
26;12554;14477
26;12604;41931
26;12703;14137
26;12802;11815
26;12901;15895
26;13008;59504
26;13107;37245
26;13206;22793
26;13305;21356
26;13404;21298
26;13503;33959
26;13602;33951
26;13701;113230
26;13800;18018
26;13909;86350
26;14006;19165
26;14105;35907
26;14204;45865
26;14303;11270
26;14402;6007
26;14501;65089
26;14600;28534
26;14709;12874
26;14808;25765
26;14857;23388
26;15003;28775
26;15102;7169
26;15201;10096
26;15300;53022
26;15409;45219
26;15508;13769
26;15607;30521
26;15706;15254
26;15805;27304
26;15904;8202
26;16001;18482
26;16100;9534
26;16183;7618
26;16209;20731
26;16308;32643
26;16407;138757
26;16506;14725
27;102;20196
27;201;17545
27;300;231747
27;409;47185
