code_muni;POP_ESTIM
2104073.0;8504
2104081.0;10360
2104099.0;19089
2104107.0;12631
2104206.0;15552
2104305.0;11819
2104404.0;17934
2104503.0;10840
2104552.0;18296
2104602.0;16828
2104628.0;7807
2104651.0;10180
2104677.0;25577
2104701.0;6262
2104800.0;69527
2104909.0;12030
2105005.0;28717
2105104.0;27113
2105153.0;14177
2105203.0;11320
2105302.0;258682
2105351.0;16057
2105401.0;68203
2105427.0;26000
2105450.0;10153
2105476.0;16515
2105500.0;23632
2105609.0;16168
2105658.0;3432
2105708.0;50266
2105807.0;10840
2105906.0;16257
2105922.0;11250
2105948.0;8873
2105963.0;11394
2105989.0;7550
2106003.0;11893
2106102.0;12157
2106201.0;6951
2106300.0;19826
2106326.0;21395
2106359.0;7792
2106375.0;16265
2106409.0;16829
2106508.0;23370
2106607.0;33782
2106631.0;16745
2106672.0;8464
2106706.0;21015
2106755.0;28381
2106805.0;14962
2106904.0;33434
2107001.0;9160
2107100.0;19433
2107209.0;14454
2107258.0;5384
2107308.0;4683
2107357.0;20928
2107407.0;19505
2107456.0;14701
2107506.0;122197
2107605.0;19722
2107704.0;21386
2107803.0;34907
2107902.0;19019
2108009.0;19472
2108058.0;16035
2108108.0;21040
2108207.0;39229
2108256.0;25144
2108306.0;38470
2108405.0;14318
2108454.0;23196
2108504.0;32941
2108603.0;83387
2108702.0;21485
2108801.0;18625
2108900.0;17873
2109007.0;23885
2109056.0;5975
2109106.0;47804
2109205.0;12734
2109239.0;7015
2109270.0;18918
2109304.0;11193
2109403.0;15315
2109452.0;30761
2109502.0;20195
2109551.0;7791
2109601.0;42740
2109700.0;5671
2109759.0;7773
2109809.0;42130
2109908.0;89044
2110005.0;72667
2110039.0;25254
2110104.0;25642
2110203.0;37855
2110237.0;13386
2110278.0;15846
2110302.0;14528
2110401.0;18663
2110500.0;45211
2110609.0;28507
2110658.0;7392
2110708.0;34376
2110807.0;4585
2110856.0;11798
2110906.0;12210
2111003.0;20665
2111029.0;15808
2111052.0;11177
2111078.0;18543
2111102.0;25929
2111201.0;177687
2111250.0;7641
2111300.0;1101884
2111409.0;18856
2111508.0;41529
2111532.0;12690
2111573.0;4668
2111607.0;18868
2111631.0;5237
2111672.0;6719
2111706.0;22247
2111722.0;13914
2111748.0;11141
2111763.0;14293
2111789.0;10253
2111805.0;18081
2111904.0;10636
2111953.0;5660
2112001.0;8521
2112100.0;29124
2112209.0;169107
2112233.0;21998
2112274.0;5840
2112308.0;41832
2112407.0;35604
2112456.0;25619
2112506.0;58860
2112605.0;33122
2112704.0;56510
2112803.0;52441
2112852.0;13392
2112902.0;32764
2113009.0;31523
2114007.0;51714
2200053.0;7084
2200103.0;5139
2200202.0;17411
2200251.0;7651
2200277.0;4915
2200301.0;14304
2200400.0;40524
2200459.0;5419
2200509.0;17598
2200608.0;6788
2200707.0;9880
2200806.0;3164
2200905.0;5835
2200954.0;2551
2201002.0;4727
2201051.0;7846
2201101.0;11289
2201150.0;11586
2201176.0;3951
2201200.0;47066
2201309.0;3348
2201408.0;7032
2201507.0;26857
2201556.0;4015
2201572.0;3566
2201606.0;10467
2201705.0;5501
2201739.0;6205
2201770.0;6781
2201804.0;4500
2201903.0;25179
2201919.0;5630
2201929.0;5670
2201945.0;6407
2201960.0;8329
2201988.0;3875
2202000.0;19781
2202026.0;8244
2202059.0;10586
2202075.0;3559
2202083.0;7642
2202091.0;5776
2202109.0;5613
